n,r,m
(:invention {id: neural networks}),[:developed],(:invention {id: computer vision})
(:invention {id: neural networks}),[:developed],(:invention {id: natural language processing})
(:person {id: John J. Hopfield}),[:bornIn],(:birthPlace {id: Chicago})
(:person {id: John J. Hopfield}),[:worksAt],(:institution {id: California Institute of Technology (Caltech)})
(:person {id: John J. Hopfield}),[:worksAt],(:institution {id: Princeton University})
(:person {id: John J. Hopfield}),[:worksAt],(:institution {id: AT&T Bell Laboratories})
(:person {id: John J. Hopfield}),[:developed],(:invention {id: Hopfield network})
(:person {id: John J. Hopfield}),[:collaboratedWith],(:person {id: Geoffrey Hinton})
(:person {id: John J. Hopfield}),[:hasAward],(:award {id: Nobel Prize in Physics})
(:person {id: John J. Hopfield}),[:bornAt],"(:date {id: July 15, 1933})"
(:person {id: John J. Hopfield}),[:hasNationality],(:nationality {id: American})
(:person {id: John J. Hopfield}),[:earnedDegreeFrom],(:institution {id: Swarthmore College})
(:person {id: John J. Hopfield}),[:earnedDegree],(:degree {id: bachelor’s degree})
(:person {id: John J. Hopfield}),[:earnedDegree],(:degree {id: Ph.D})
(:person {id: George Boole}),[:developed],(:invention {id: algebra of logic})
(:person {id: Ilya Sutskever}),[:bornIn],(:birthPlace {id: Nizhny Novgorod})
(:person {id: Ilya Sutskever}),[:worksAt],(:institution {id: OpenAI})
(:person {id: Ilya Sutskever}),[:hasRole],(:role {id: Chief Scientist})
(:person {id: Ilya Sutskever}),[:developed],(:invention {id: GPT-3})
(:person {id: Ilya Sutskever}),[:developed],(:invention {id: GPT-4})
(:person {id: Ilya Sutskever}),[:coFounded],(:institution {id: OpenAI})
(:person {id: Ilya Sutskever}),[:bornAt],"(:date {id: December 8, 1986})"
(:person {id: Ilya Sutskever}),[:hasNationality],(:nationality {id: Canadian-Israeli-Russian})
(:person {id: Ilya Sutskever}),[:earnedDegree],(:degree {id: Ph.D})
(:person {id: Ilya Sutskever}),[:coInventing],(:invention {id: AlexNet})
(:person {id: Howard Everest Hinton}),[:is],(:relation {id: father})
(:person {id: Howard Everest Hinton}),[:was],(:role {id: entomologist})
